date,open,high,low,close,volume
05/11/86,0.6384,0.663,0.6339,0.6607,156240000
06/11/86,0.6541,0.6586,0.6384,0.6452,82880000
07/11/86,0.6429,0.6452,0.6229,0.6384,35789600
10/11/86,0.6407,0.6407,0.6273,0.6318,26471200
11/11/86,0.6339,0.6384,0.6295,0.6339,12544000
12/11/86,0.6384,0.6541,0.6363,0.6541,32748800
13/11/86,0.6518,0.6518,0.6339,0.6339,34378400
14/11/86,0.6339,0.6339,0.6229,0.6295,33779200
17/11/86,0.6295,0.6607,0.625,0.6496,35420000
18/11/86,0.6496,0.6563,0.6273,0.6318,42515200
19/11/86,0.6273,0.6295,0.6161,0.625,75600000
20/11/86,0.6229,0.6318,0.6229,0.6295,73920000
21/11/86,0.6295,0.6473,0.6273,0.6429,71680000
24/11/86,0.6473,0.6809,0.6429,0.6786,94080000
25/11/86,0.6786,0.7211,0.6786,0.7188,212240000
26/11/86,0.7166,0.7366,0.7143,0.7232,126560000
28/11/86,0.7232,0.7255,0.7077,0.7143,55137600
01/12/86,0.7143,0.7166,0.6988,0.7166,86800000
02/12/86,0.7232,0.7455,0.7143,0.7411,92400000
03/12/86,0.7434,0.7679,0.7411,0.7634,84000000
04/12/86,0.7613,0.7634,0.75,0.7589,67200000
05/12/86,0.7613,0.7813,0.7589,0.7813,65520000
08/12/86,0.7791,0.7836,0.7568,0.7589,86800000
09/12/86,0.7568,0.7613,0.7345,0.7568,75600000
10/12/86,0.7568,0.7813,0.75,0.7768,61040000
11/12/86,0.7791,0.7836,0.7613,0.7657,56560000
12/12/86,0.7657,0.7679,0.7366,0.7366,45029600
15/12/86,0.7321,0.7455,0.7211,0.7455,52264800
16/12/86,0.7434,0.7589,0.7434,0.7589,37984800
17/12/86,0.7568,0.7589,0.73,0.7366,37777600
18/12/86,0.7345,0.7479,0.7277,0.7389,43764000
19/12/86,0.7389,0.7589,0.7389,0.7523,49772800
22/12/86,0.75,0.7589,0.7455,0.7523,41092800
23/12/86,0.7545,0.7568,0.7479,0.7523,61040000
24/12/86,0.75,0.7523,0.7434,0.7479,23940000
26/12/86,0.7479,0.7479,0.7321,0.7321,22467200
29/12/86,0.7321,0.7345,0.7188,0.7232,29411200
30/12/86,0.7232,0.7411,0.7211,0.7321,37038400
31/12/86,0.7321,0.7389,0.7211,0.7232,33140800
02/01/87,0.7211,0.7345,0.7166,0.73,30217600
05/01/87,0.7366,0.7723,0.7321,0.7679,59920000
06/01/87,0.7702,0.7857,0.7613,0.7813,81200000
